Order ID,Payment Method,Card Issuer
1381,cashless,BANKINTER S.A.
2382,cashless,BANCO COMERCIAL PORTUGUES S.A.
3383,cashless,BANCO COMERCIAL PORTUGUES S.A.
4384,cashless,ING BANK N.V.
5385,cashless,INTESA SANPAOLO SPA
6386,cashless,BANCO BEST
7387,cashless,CAIXA CENTRAL DE CREDITO AGRIC
8388,cashless,BANCO SANTANDER TOTTA S.A.
9389,cashless,WIZINK BANK S.A
103810,cashless,BANKINTER S.A.
113811,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
123812,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
133813,cashless,BANCO CTT S.A.
143814,cashless,CAIXA ECONOMICA MONTEPIO GERAL
153815,cashless,MONTEPIO GERAL - CAIXA ECONOMI
163816,cashless,BANCO COMERCIAL PORTUGUES S.A.
173817,cashless,BANCO SANTANDER TOTTA S.A.
11318,cashless,
183819,cashless,BANCO COMERCIAL PORTUGUES S.A.
193820,cashless,CAIXA GERAL DE DEPOSITOS SA
203821,cashless,CAIXA GERAL DE DEPOSITOS S.A.
213822,cashless,BANCO COMERCIAL PORTUGUES S.A.
223823,cashless,BANCO COMERCIAL PORTUGUES S.A.
233824,cashless,BANCO COMERCIAL PORTUGUES S.A.
243825,cashless,BANCO COMERCIAL PORTUGUES S.A.
253826,cashless,CHEBANCA! SPA
21327,cashless,
263828,cashless,BANCO COMERCIAL PORTUGUES S.A.
273829,cashless,BANCO SANTANDER TOTTA S.A.
283830,cashless,CAIXA GERAL DE DEPOSITOS S.A.
293831,cashless,NOVO BANCO S.A.
303832,cashless,CAIXA GERAL DE DEPOSITOS S.A.
313833,cashless,NOVO BANCO S.A.
323834,cashless,NOVO BANCO DOS ACORES
333835,cashless,BANCO COMERCIAL PORTUGUES S.A.
31336,cash,
343837,cashless,REVOLUT PAYMENTS UAB
353838,cashless,CAIXA CENTRAL DE CREDITO AGRICOLA MUTUO C.R.L.
363839,cashless,CAIXA GERAL DE DEPOSITOS S.A.
373840,cashless,BANCO COMERCIAL PORTUGUES S.A.
383841,cashless,NOVO BANCO S.A.
393842,cashless,BANCO SANTANDER TOTTA S.A.
403843,cashless,REVOLUT LIMITED
413844,cashless,CAIXABANK S.A.
423845,cashless,BANCO COMERCIAL PORTUGUES S.A.
433846,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
443847,cashless,CAIXABANK S.A.
453848,cashless,KUTXABANK S.A.
463849,cashless,CAIXA GERAL DE DEPOSITOS SA
473850,cashless,ALLIED IRISH BANKS P.L.C.
