ticket_id,csat_score,comments,language
43532202030211,4.0,"I got the help
",en
43532202060361,4.0,Quick and perfect solution.,en
43532202089634,4.0,really quick response,en
43532202107866,0.0,"i cannot connect our accounting system to pleo...i have tried in edge and google
",en
43532202114004,4.0,"Fast, helpful advice
",en
43532202138634,0.0,still trying to get the issue resolved,en
43532202200899,0.0,"My issue is not solved.

I've spent hours over the last few weeks having to deal with pleo issues.",en
43532202216374,4.0,"Helpful and straight to the point, 10/10",en
43532202064073,0.0,Cannot export users,en
43532202133400,0.0,Didn't help at all not acceptable ,en
43532202146878,4.0,"hurtig respons
",en
43532202165202,4.0,all sorted thank you,en
43532202171970,4.0,quickly resolved!,en
43532202203971,0.0,I have not gotten a response.,en
43532202033618,4.0,fast response,en
43532202035112,0.0,Second month in a row we had issues with the interface to DATEV which caused a delay in month-end closing of several hours. The solution to export the data was to delete one invoice receipt. It was a PNG-File (size 142kb). What really caused the problem is unkonw to us. The user still receives reminders that he has to upload an invoice receipt.,en
43532202038042,4.0,"Friendly engaging helpful and even amusing interaction to fix what would otherwise have been a very dull IT issue, please give Sonja all the high praise ",en
43532202045738,4.0,prompt support and immediate reaction; thanks!,en
43532202049496,0.0,"I have limit and pleo rejected my purchase. when tlaking to pleo, they say they cannot even see anything. I will try buying again, but not sure it is solved. anyway, the issue that pleo rejects transationcs within the limit is not Ok and shoudl be solved form your side I think . I got no reply on that.",en
43532202071911,0.0,that didnt answer my question,en
43532202085246,4.0,Fast response!,en
43532202097090,0.0,"My question was not read correctly and I did not get an answer
",en
43532202166995,4.0,gave me good advice ,en
43532202169443,0.0,did not resolve the fact i could not top up my card. Just told me to do it manually from my bank,en
43532202184808,0.0,simple task asked still unresolved,en
43532202186479,4.0,"Quick and easy, i have received the help and sorted out the issue within minutes ",en
43532202202123,4.0,"Happy. I was happy with the help in the conversation, because",en
43532202045093,4.0,"
quick response with solution",en
43532202069622,4.0,Olga was very professional and helpful.,en
43532202088048,0.0,We are having issues exporting to Xero,en
43532202098557,0.0,"i started chatting 5 hours ago and the delay in replies took so long i have had to log off
Very unhappy thinking of moving from Pleo",en
