Created Date,Country,City,Restaurant ID,Restaurant Name,Order State,Cancel Reason,Cuisine,Platform,Products in Order,Order Value € (Gross),Delivery Fee,Delivery Time,Order ID
28.02.2020,Portugal,Lisbon,7238,Chirashi - Alvalade,delivered,,Sushi,ios,13,€89.30,0.0,17.7,1381
28.02.2020,Portugal,Lisbon,12758,Istanbul Kebab Pizza - Alameda,delivered,,Pizza,android,1,€10.00,0.0,16.3,2382
28.02.2020,Portugal,Lisbon,6631,A-100 - Lisboa,delivered,,Burgers,ios,2,€16.96,0.0,13.6,3383
28.02.2020,Portugal,Lisbon,10535,La Paparrucha - Parrilla Argentina,delivered,,South American,ios,3,€25.15,4.2,26.1,4384
28.02.2020,Portugal,Lisbon,9695,Choupana Caffe,delivered,,Brunch,ios,3,€16.00,0.0,11.6,5385
28.02.2020,Portugal,Lisbon,10181,Josefino Pizza,delivered,,Pizza,android,1,€11.50,0.0,8.4,6386
28.02.2020,Portugal,Lisbon,13475,Italian Spice,delivered,,Italian,ios,2,€9.68,0.0,30.4,7387
28.02.2020,Portugal,Lisbon,6735,Mano a Mano,delivered,,Pasta,ios,3,€23.80,0.0,23.6,8388
28.02.2020,Portugal,Lisbon,6632,A-100 - Algés,delivered,,Burgers,android,2,€15.92,0.0,30.9,9389
28.02.2020,Portugal,Lisbon,9603,Churrasqueira Super Rei,delivered,,Grill,android,2,€11.30,0.0,22.6,103810
28.02.2020,Portugal,Lisbon,5618,Choco&Nut - Benfica,delivered,,Ice cream,ios,4,€7.50,0.0,14.4,113811
28.02.2020,Portugal,Lisbon,8002,Poke House - Chiado,delivered,,Poke,ios,1,€10.50,0.18,21.0,123812
28.02.2020,Portugal,Lisbon,5283,Casa al Parma,delivered,,Pizza,android,2,€17.95,0.0,5.8,133813
28.02.2020,Portugal,Lisbon,6811,Está no Papo,delivered,,Traditional,ios,1,€8.99,0.0,4.7,143814
28.02.2020,Portugal,Lisbon,15525,Oakberry Açaí - Alvalade,delivered,,Ice cream,ios,1,€7.90,0.0,13.1,153815
28.02.2020,Portugal,Lisbon,5684,Leads Pizza - Benfica,failed,Could not find a courier to deliver the order,Pizza,ios,1,,,,163816
28.02.2020,Portugal,Lisbon,13552,Pizza rio e grelha,delivered,,Pizza,ios,1,€6.00,0.0,10.1,173817
28.02.2020,Ghana,Accra,7070,Kiki's Pot,delivered,,Casual,android,5,€9.54,0.0,12.2,11318
28.02.2020,Portugal,Lisbon,9244,Joshua's Shoarma Grill - Amoreiras,delivered,,Healthy,ios,3,€8.56,0.0,16.6,183819
28.02.2020,Portugal,Lisbon,6801,Subway - Santos,rejected,The restaurant rejected the order,Sandwich,,1,,,,193820
28.02.2020,Portugal,Lisbon,8448,Nozomi Sushi,delivered,,Sushi,,3,€13.50,0.0,14.1,203821
